L:1
S:-1,-1
0,-1,-1
0,-1,-0.5
0,-1,0
0,-1,0.5
0,-0.5,-0.5
0,-0.5,0
0,-0.5,0.5
0,0,0.5
0,0.5,0.5
0,0.5,1
0,0,1
1,1,1
L:2
S:-0.5,-1
0,-1,-1.5
0,-0.5,-1.5
0,0,-1.5
0,0.5,-1.5
0,0.5,-1
0,0,-1
0,-0.5,-1
0,-1,-1
0,-1,-0.5
0,-0.5,-0.5
0,0,-0.5
0,0.5,-0.5
0,0.5,0
0,0,0
0,-0.5,0
0,-1,0
0,0,0.5
0,0,1
1,0,1.5
L:3
S:-0.5,-2
0,-0.5,-2
0,0,-2
0,0.5,-2
0,0.5,-1.5
0,0,-1.5
0,-0.5,-1.5
0,-0.5,-1
0,0,-1
0,0.5,-1
0,0.5,-0.5
0,0.5,0
0,0.5,0.5
0,0.5,1
0,0,1
0,-0.5,1
0,-1,1
0,-1,1.5
0,-0.5,1.5
0,0,1.5
0,-1,-1
0,-1,-0.5
0,-1,0
0,0,2
0,-0.5,2
0,-1,2
1,-1,0.5
L:4
S:-0.5,-1
0,-0.5,-1
0,0,-1
0,0.5,-1
0,0.5,-0.5
0,-0.5,-0.5
0,-0.5,1
0,0,1
0,0.5,1
0,0.5,0.5
0,-0.5,0.5
0,0,0.5
0,0,0
0,-0.5,0
0,0.5,0
0,-0.5,1.5
0,0,1.5
0,1,0
0,1,0.5
0,1,-0.5
1,0,-0.5
L:5
S:0,-3
0,0,-3
0,0,-2.5
0,0.5,-2.5
0,-0.5,-2.5
0,-1,-2.5
0,-1,-2
0,-0.5,-2
0,0.5,-2
0,0,-2
0,0,-1.5
0,0.5,-1.5
0,-0.5,-1.5
0,-1,-1.5
0,-1,-1
0,-0.5,-1
0,0.5,-1
0,0,-1
0,-0.5,-0.5
0,-0.5,0
0,-0.5,0.5
0,0,0.5
0,0.5,0.5
0,1,0.5
0,1,1
0,0.5,1
0,0,1
0,0,1.5
0,0.5,1.5
0,1,1.5
0,1,2
0,0.5,2
0,0,2
0,-0.5,2
0,-1,2
0,-1,2.5
0,-0.5,2.5
0,-0.5,3
0,-1,3
0,-1.5,2.5
0,-1.5,3
0,-0.5,-3
0,0.5,-3
1,-1.5,2
L:6
S:0,-2.5
0,0,-2.5
0,0.5,-2.5
0,1,-2.5
0,1.5,-2.5
0,1.5,-2
0,1,-2
0,0.5,-2
0,0,-2
0,0,-1.5
0,0.5,-1.5
0,0,-1
0,-0.5,-1.5
0,-1,-1.5
0,-1,-2
0,-0.5,-2
0,-1,-1
0,-0.5,-1
0,-1.5,-2
0,-1.5,-1.5
0,0.5,-1
0,-0.5,-0.5
0,-0.5,0
0,-0.5,0.5
0,-0.5,1
0,-1,1
0,0,1
0,0.5,1
0,1,1
0,1.5,1
0,1.5,1.5
0,1.5,2
0,1.5,2.5
0,1,2.5
0,0.5,2.5
0,0,2.5
0,-0.5,2
0,-0.5,2.5
0,-0.5,1.5
0,0,2
0,0,3
0,0.5,3
0,1,3
1,0,1.5
L:7
S:-0.5,0
0,-0.5,0
0,-1,0
0,-1.5,0
0,-2,0
0,-2,-0.5
0,-1.5,-0.5
0,-1,-0.5
0,-0.5,-0.5
0,-0.5,-1
0,-1,-1
0,-1.5,-1
0,-2,-1
0,-1,-1.5
0,-0.5,-1.5
0,0,-1.5
0,0,-1
0,0.5,-1
0,0.5,-1.5
0,1,-1
0,1.5,-1
0,1.5,-0.5
0,1.5,0
0,1.5,0.5
0,1.5,1
0,1,1
0,0.5,1
0,0,1
0,-0.5,1
0,-1,1
0,-1,0.5
0,-0.5,0.5
0,-1.5,0.5
0,1,2.5
0,0.5,2.5
0,1.5,2.5
0,1.5,2
0,1.5,1.5
1,0,2.5
L:8
S:-0.5,-2
0,-0.5,-2
0,0,-1.5
0,-1,-1.5
0,-0.5,-1.5
0,-1,-1
0,0,-1
0,0,-0.5
0,-1,-0.5
0,-0.5,-0.5
0,0.5,-1
0,1,-1
0,1.5,-1
0,1.5,-0.5
0,1.5,0
0,1.5,0.5
0,1.5,1
0,1.5,1.5
0,1.5,2
0,1,1.5
0,1,2
0,0.5,2
0,0,2
0,-0.5,2
0,-0.5,1.5
0,0,1.5
0,0.5,1.5
0,-0.5,1
0,-0.5,0.5
0,-1,1.5
0,-1,1
0,-0.5,0
0,-0.5,2.5
0,0,2.5
1,-0.5,-1
L:9
S:0,-2.5
0,0,-2.5
0,0.5,-2.5
0,-0.5,-2.5
0,-0.5,-2
0,0.5,-2
0,0,-2
0,0,-1.5
0,0.5,-1.5
0,-0.5,-1.5
0,1,-2
0,1,-2.5
0,0.5,-3
0,0,-3
0,1.5,-2.5
0,-1,-2
0,-1,-1.5
0,-1,-1
0,-0.5,-1
0,-1,-0.5
0,-1,0
0,-1,0.5
0,-1,1
0,-0.5,1
0,0,1
0,0,1.5
0,-0.5,1.5
0,0,2
0,0.5,2
0,0.5,1.5
0,0.5,1
0,1,2
0,1,1
1,1,1.5
L:10
S:1,2.5
0,1,2.5
0,1.5,2.5
0,0.5,2.5
0,0.5,2
0,1.5,2
0,1,2
0,1,1.5
0,1.5,1.5
0,0.5,1.5
0,1,1
0,1,0.5
0,1,0
0,0.5,0
0,1.5,-0.5
0,0.5,-0.5
0,1,-0.5
0,1,-1
0,0.5,-1
0,1.5,-1
0,0,-0.5
0,0,-1
0,0,-1.5
0,0,-2
0,0,-2.5
0,-0.5,-2.5
0,-0.5,-3
0,0,-3
0,0,-3.5
0,-0.5,-3.5
0,0.5,-3.5
0,0.5,-3
0,-1,-2.5
0,-1,-3
1,-0.5,-2
L:11
S:0,0.5
0,0,0.5
0,0,1
0,0.5,1
0,0.5,1.5
0,0,1.5
0,0,2
0,0.5,2
0,-0.5,1.5
0,-0.5,2
0,1,1
0,1.5,1
0,1.5,1.5
0,1,1.5
0,0,0
0,0,-0.5
0,0.5,-0.5
0,0.5,-1
0,0,-1
0,0.5,-1.5
0,1,-1.5
0,-0.5,-0.5
0,-1,-0.5
0,-1.5,-0.5
0,-1.5,-1
0,-1.5,-1.5
0,-1.5,-2
0,-1,-2
0,-1,-2.5
0,-1.5,-2.5
0,-1.5,-3
0,-1,-3
0,-0.5,-3
0,-0.5,-2.5
0,0,-2.5
0,0,-3
0,0.5,-3
0,0.5,-2.5
0,1,-2.5
0,1,-3
1,1,-2
L:12
S:-0.5,-2
0,-0.5,-2
0,0,-2
0,-1,-2
0,-1,-2.5
0,0,-2.5
0,-0.5,-2.5
0,-0.5,-1.5
0,0,-1.5
0,-1,-1.5
0,0.5,-2.5
0,0.5,-2
0,-1,-1
0,-1,-0.5
0,-1.5,-0.5
0,-2,-0.5
0,-2,-1
0,-1.5,0
0,-1.5,0.5
0,-1.5,1
0,-1.5,1.5
0,-1,1.5
0,-1,1
0,-0.5,1
0,-0.5,1.5
0,0,1.5
0,0,1
0,0,0.5
0,0,0
0,0.5,0
0,0.5,0.5
0,1,0.5
0,1,0
0,1,-0.5
0,0.5,-0.5
0,1.5,0
0,2,0
0,2,-0.5
0,1.5,-0.5
0,1.5,-1
0,2,-1
0,2,-1.5
0,1.5,-1.5
1,-1.5,-1
L:13
S:0.5,-2.5
0,0.5,-2.5
0,0.5,-2
0,0.5,-1.5
0,0.5,-0.5
0,0.5,-1
0,0.5,0
0,1,-0.5
0,1,0
0,1.5,0
0,1.5,0.5
0,1,0.5
0,0.5,0.5
0,2,0.5
0,2.5,0.5
0,2.5,1
0,2,1
0,1.5,1
0,1.5,1.5
0,2,1.5
0,0,0.5
0,0,0
0,-0.5,0.5
0,-0.5,1
0,0,1
0,0,1.5
0,-0.5,1.5
0,0,-2
0,-0.5,-2
0,-1,-2
0,-1.5,-2
0,-2,-2
0,-2,-1.5
0,-1,-1.5
0,-2,-1
0,-1.5,-1
0,-1,-1
0,-1.5,-0.5
0,-2,-0.5
1,-1.5,-1.5
L:14
S:0.5,2.5
0,0.5,2.5
0,0,2.5
0,1,2.5
0,1,2
0,0,2
0,1,1.5
0,0,1.5
0,0.5,1.5
0,0.5,1
0,0.5,0.5
0,0.5,0
0,0,0
0,0,-0.5
0,0.5,-0.5
0,0.5,-1
0,0,-1
0,0,-1.5
0,0.5,-1.5
0,0.5,-2
0,0,-2
0,1,-2
0,1,-1.5
0,1,-2.5
0,1,-3
0,1,-3.5
0,1.5,-3.5
0,1.5,-3
0,1.5,-2.5
0,2,-2.5
0,2,-3
0,2,-3.5
0,-0.5,0
0,-1,0
0,-1,-0.5
0,-1.5,-0.5
0,-1.5,0
0,-2,0
0,-2,-0.5
0,-2,-1
0,-1.5,-1
0,-1.5,-1.5
1,0.5,2
L:15
S:1,0
0,1,0
0,1.5,0
0,1.5,0.5
0,1,0.5
0,1,-0.5
0,1.5,-0.5
0,0.5,0
0,0,0
0,-0.5,0
0,-0.5,0.5
0,-0.5,1
0,-0.5,1.5
0,-0.5,2
0,-0.5,2.5
0,-1,2.5
0,-1,2
0,-1,1.5
0,-1.5,1.5
0,-1.5,2
0,-1.5,2.5
0,-0.5,-0.5
0,-1,0
0,-1,-0.5
0,-1,-1
0,-0.5,-1
0,-0.5,-1.5
0,-1,-1.5
0,-1.5,-1.5
0,-0.5,-2
0,0,-2
0,0.5,-2
0,0.5,-2.5
0,0,-2.5
0,0,-3
0,0.5,-3
0,0.5,-3.5
0,0,-3.5
0,1,-3.5
0,1,-3
0,1,-2.5
0,1.5,-2.5
0,1.5,-3
0,1.5,-2
0,1.5,-1.5
0,1.5,-1
1,-1.5,-1
L:16
S:-1.5,0.5
0,-1.5,0.5
0,-1,0.5
0,-0.5,0.5
0,-2,0.5
0,-2,1
0,-0.5,1
0,-1,1
0,-1.5,1
0,-1.5,0
0,-1,0
0,-0.5,0
0,-0.5,-0.5
0,-1,-0.5
0,0,0.5
0,0.5,0.5
0,1,0.5
0,1.5,0.5
0,1.5,0
0,1.5,-0.5
0,1.5,-1
0,1.5,-1.5
