L:33
S:-1.5,0
0,-1.5,0
0,-2,0
0,-1,0
0,-0.5,0
0,-0.5,0.5
0,-1,0.5
0,-2,0.5
0,-1.5,0.5
0,-1.5,1
0,-2,1
0,-1,1
0,-0.5,1
0,-2.5,0.5
0,-2.5,0
0,-2,-2
0,-1.5,-2
0,-1,-2
0,1,1
0,1.5,1
0,2.5,1
0,2.5,1.5
0,2,1.5
0,1.5,1.5
0,1,1.5
0,1.5,0.5
0,1,0.5
0,2,0.5
3,-2,-0.5
3,-1.5,-0.5
3,-1,-0.5
3,-1,-1
3,-1.5,-1
3,-2,-1
3,-2,-1.5
3,-1.5,-1.5
3,-1,-1.5
1,2,1
2,-0.75,1,horizontal,Bridge01,END
4,-2.5,-2,right,Bridge01,END
L:34
S:1,2
0,1,2
0,1.5,2
0,0.5,2
0,0,2
0,0,2.5
0,0.5,2.5
0,1.5,2.5
0,1,2.5
0,1.5,1.5
0,1.5,1
0,1.5,0.5
0,0.5,0
0,0.5,-0.5
0,0.5,-1
0,0.5,-1.5
0,0.5,-2
0,0.5,-2.5
0,-1.5,-1.5
3,0,1.5
3,0.5,1.5
3,1,1.5
3,1,1
3,0.5,1
3,0,1
3,0.5,0.5
3,1,0.5
3,1,-1.5
3,1,-2
3,1,-2.5
3,1.5,-2.5
3,1.5,-2
3,1.5,-1.5
3,0,-2
3,0,-1.5
3,-0.5,-1.5
3,-0.5,-2
3,-1,-2
3,-1,-1.5
1,-1.5,-2
L:35
S:-1.5,-1
0,-1.5,-1
0,-1,-1
0,-1,-0.5
0,-1.5,-0.5
0,-1.5,0
0,-1,0
0,-1,0.5
0,-1.5,0.5
0,-1.5,-1.5
0,-1,-1.5
0,-0.5,-1
0,-0.5,-0.5
0,0.5,0
0,1,0
0,1.5,0
0,1.5,0.5
0,1,0.5
0,0.5,0.5
0,1,-1.5
0,0.5,-1.5
0,0.5,-2
0,1,-2
0,1,-2.5
0,0.5,-2.5
0,1.5,-2.5
0,1.5,-2
0,2,-2
0,2,-2.5
0,-2,-3
0,-1,-3
0,-1,-3.5
0,-1.5,-3.5
0,-2,-3.5
0,-2,3
0,-2,3.5
0,-1.5,3.5
0,-1,3.5
0,-1,3
0,-1.5,-2.5
0,-1.5,-2
0,-2,-1.5
0,-2.5,-1.5
0,-2,-1
0,-2.5,-1
0,-2,-0.5
0,-2.5,-0.5
3,0,-1
3,0,-0.5
3,0.5,-0.5
3,0.5,-1
3,1,-1
3,1,-0.5
1,-1.5,3
2,-1.5,0.25,straight,Bridge01,END
2,-1.5,3.25,straight,Bridge02,END
4,1.5,1,forward,Bridge01,END
4,-1.5,-3,back,Bridge02,END
L:36
S:-0.5,-2
0,-0.5,-2
0,-1,-2
0,-1.5,-2
0,-1.5,-1.5
0,-1,-1.5
0,-0.5,-1.5
0,0,-2
0,0,-1.5
0,0.5,-2
0,1,-2
0,-0.5,0
0,0,0
0,0.5,0
0,-0.5,0
0,-0.5,0.5
0,0.5,0.5
0,0,0.5
0,0.5,1
0,0.5,1.5
0,0,2
0,0,2.5
0,0.5,2.5
0,1,2.5
0,1,2
0,-2,-1.5
0,-2,-2
0,-2,-2.5
3,0.5,-1.5
3,1,-1.5
3,1.5,-1.5
3,1.5,-2
3,1.5,-2.5
3,1,-2.5
3,0.5,-2.5
3,0,-0.5
3,0,-1
3,-0.5,-1
3,-0.5,-0.5
3,0.5,-0.5
3,0.5,-1
1,0.5,2
L:37
S:-1,0.5
0,-1,0.5
0,-1.5,0.5
0,-2,0.5
0,-0.5,0.5
0,-0.5,0
0,-2,0
0,-1.5,0
0,-1,0
0,-1,1
0,-1.5,1
0,-2,1
0,-0.5,1
0,-1.5,-0.5
0,-1,-0.5
0,-0.5,1.5
0,-1,1.5
0,1.5,1
0,1,1
0,1.5,0.5
0,0.5,-1
0,1,-1
0,1,-1.5
0,2,-1.5
0,2,-2
0,2,-2.5
0,0,-2.5
0,0,-3
0,-0.5,-2.5
0,-0.5,-3.5
0,-1,-3.5
0,-1,-2.5
0,-1,-3
0,-1.5,-3
0,-1.5,-2.5
0,-1.5,-3.5
0,0.5,-1.5
0,-1,3
0,-1.5,3
0,-1.5,3.5
0,-0.5,3.5
0,-0.5,3
3,0,0
3,0,0.5
3,1,0.5
3,1,0
3,1,-0.5
3,1,-0.5
3,0.5,-0.5
3,0.5,0
3,0.5,0.5
3,1.5,-1.5
3,1.5,-2
3,1,-2
3,0.5,-2
3,0.5,-2.5
3,1,-2.5
3,1.5,-2.5
